151	280	1
176	225	1
69	223	1
28	285	1
26	225	1
18	28	1
26	127	1
26	174	1
26	280	1
26	81	1
26	4	1
26	152	1
26	225	1
26	208	1
26	9	1
26	18	1
26	121	1
26	64	1
26	30	1
26	191	1
26	53	1
26	307	1
26	298	1
26	12	1
26	285	1
26	180	1
26	69	1
26	223	1
26	256	1
28	4	1
26	127	1
26	174	1
26	280	1
26	81	1
26	4	1
26	152	1
26	225	1
26	208	1
26	9	1
26	18	1
26	121	1
26	64	1
26	30	1
26	191	1
26	53	1
26	307	1
26	298	1
26	12	1
26	285	1
26	180	1
26	69	1
26	223	1
26	256	1
26	307	1
225	26	1
280	151	1
280	151	1
26	225	1
26	225	1
18	208	1
18	307	1
223	225	1
26	225	1
69	223	1
307	28	1
151	280	1
307	180	1
18	208	1
180	152	1
151	280	1
151	280	1
9	225	1
28	285	1
251	12	1
12	251	1
26	92	1
180	307	1
208	28	1
208	28	1
180	152	1
151	280	1
151	280	1
28	285	1
28	251	1
53	280	1
180	152	1
18	208	1
26	4	1
280	174	1
280	53	1
180	152	1
223	28	1
180	152	1
12	28	1
251	28	1
180	292	1
53	307	1
307	53	1
280	174	1
280	53	1
176	223	1
176	223	1
28	9	1
28	18	1
28	151	1
28	307	1
28	285	1
208	28	1
208	28	1
208	28	1
28	12	1
208	28	1
225	176	1
225	176	1
53	280	1
69	223	1
280	53	1
26	4	1
28	9	1
28	18	1
28	151	1
28	307	1
28	12	1
26	225	1
180	18	1
12	28	1
151	280	1
53	280	1
151	280	1
180	18	1
151	54	1
208	28	1
30	54	1
53	174	1
53	280	1
18	28	1
280	151	1
152	280	1
151	280	1
180	18	1
280	151	1
9	28	1
151	280	1
18	180	1
26	225	1
180	307	1
180	307	1
180	18	1
180	298	1
180	298	1
18	307	1
180	18	1
69	223	1
223	69	1
180	298	1
53	298	1
30	28	1
307	127	1
307	18	1
151	152	1
152	151	1
152	28	1
9	127	1
28	195	1
28	141	1
28	127	1
28	280	1
28	208	1
28	18	1
28	307	1
28	26	1
28	12	1
28	285	1
28	223	1
26	92	1
28	280	1
28	81	1
28	152	1
28	176	1
28	64	1
28	30	1
28	151	1
28	26	1
28	69	1
28	223	1
151	54	1
69	121	1
28	285	1
30	26	1
26	30	1
81	226	1
53	174	1
4	12	1
12	4	1
4	12	1
12	4	1
4	12	1
152	151	1
26	225	1
9	127	1
30	26	1
26	30	1
208	28	1
208	28	1
4	12	1
12	4	1
4	12	1
28	195	1
12	4	1
4	12	1
9	225	1
9	26	1
26	225	1
26	9	1
225	127	1
225	208	1
225	9	1
225	18	1
225	191	1
225	307	1
225	26	1
225	163	1
225	256	1
208	18	1
26	9	1
26	225	1
26	225	1
53	174	1
53	280	1
151	54	1
26	225	1
26	225	1
151	152	1
208	28	1
28	18	1
28	26	1
4	26	1
208	28	1
26	4	1
26	4	1
26	223	1
256	191	1
223	26	1
26	225	1
26	298	1
26	225	1
298	26	1
1	196	1
26	225	1
225	26	1
26	225	1
26	285	1
307	127	1
307	18	1
307	208	1
307	69	1
307	28	1
208	307	1
223	225	1
307	208	1
152	280	1
69	307	1
69	307	1
28	151	1
28	53	1
307	69	1
28	285	1
307	26	1
26	307	1
26	1	1
26	196	1
307	26	1
26	307	1
307	26	1
4	26	1
298	109	1
26	307	1
280	53	1
225	18	1
53	280	1
280	53	1
280	53	1
53	280	1
180	152	1
307	127	1
307	223	1
223	127	1
223	307	1
223	307	1
307	223	1
225	223	1
223	225	1
208	28	1
307	208	1
307	18	1
307	225	1
307	208	1
307	18	1
180	152	1
18	307	1
152	180	1
307	18	1
208	307	1
180	152	1
151	54	1
151	280	1
151	280	1
151	280	1
26	225	1
223	28	1
26	4	1
151	280	1
26	225	1
26	225	1
151	280	1
208	307	1
26	225	1
26	151	1
1	225	1
176	223	1
151	54	1
225	26	1
225	26	1
225	26	1
225	26	1
225	1	1
225	223	1
9	225	1
9	26	1
26	225	1
26	9	1
81	28	1
176	223	1
223	225	1
225	26	1
26	4	1
18	208	1
18	307	1
81	28	1
151	280	1
30	26	1
26	30	1
208	28	1
223	28	1
223	28	1
81	54	1
223	28	1
174	53	1
223	28	1
81	28	1
151	54	1
26	280	1
26	307	1
26	223	1
26	225	1
223	28	1
18	208	1
223	28	1
223	26	1
26	28	1
28	26	1
225	26	1
26	225	1
225	26	1
26	225	1
298	69	1
53	174	1
307	191	1
191	256	1
208	18	1
53	280	1
280	53	1
223	225	1
223	28	1
180	18	1
180	152	1
180	298	1
53	280	1
53	280	1
151	26	1
151	152	1
26	151	1
152	180	1
256	191	1
191	256	1
225	223	2
81	28	2
180	298	2
180	298	2
223	176	2
26	223	2
280	28	2
280	28	2
152	280	2
223	18	2
223	225	2
53	280	2
280	53	2
225	223	2
208	28	2
69	223	2
151	280	2
151	26	2
151	280	2
4	26	2
151	26	2
26	4	2
26	151	2
180	298	2
223	28	2
223	225	2
225	223	2
223	28	2
176	26	2
26	176	2
223	208	2
208	28	2
30	26	2
26	30	2
